,Date,Start time,From city,To city,Number called (to/from),Call type,Duration
111,09/12/2019,6:22:47 PM,TORONTO ON,RICHMONDHL ON,B_2,Outgoing,2
112,09/11/2019,6:20:42 PM,TORONTO ON,RICHMONDHL ON,B_2,Outgoing,3
113,09/11/2019,5:17:53 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,33
114,09/11/2019,5:13:08 PM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,5
115,09/11/2019,5:12:38 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,1
116,09/11/2019,12:35:23 PM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,25
117,09/10/2019,5:33:14 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,4
118,09/10/2019,5:14:28 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,18
119,09/10/2019,5:13:31 PM,TORONTO ON,TORONTO ON,D_4,Outgoing,1
120,09/10/2019,5:08:34 PM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,1
121,09/10/2019,5:06:57 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,1
122,09/10/2019,4:59:19 PM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,2
123,09/09/2019,5:59:40 PM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,15
124,09/07/2019,3:00:00 PM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,1
125,09/07/2019,11:44:19 AM,TORONTO ON,TORONTO ON,A_1,Outgoing,32
126,09/07/2019,10:44:52 AM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,15
127,09/07/2019,10:32:55 AM,TORONTO ON,STOUFFVL ON,D_5,Outgoing,1
128,09/07/2019,10:15:03 AM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,16
129,09/07/2019,10:08:04 AM,TORONTO ON,TORONTO ON,A_1,Outgoing,1
130,09/06/2019,7:32:55 PM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,4
131,09/06/2019,7:31:16 PM,TORONTO ON,TORONTO ON,A_4,Outgoing,2
132,09/06/2019,8:35:35 AM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,9
133,09/05/2019,12:37:38 PM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,2
134,09/05/2019,9:09:59 AM,TORONTO ON,OAK RIDGES ON,A_5,Outgoing,2
135,09/05/2019,8:48:42 AM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,21
136,09/05/2019,8:40:18 AM,TORONTO ON,TORONTO ON,A_5,Outgoing,8
137,09/03/2019,8:38:52 PM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,4
138,09/03/2019,6:10:14 PM,TORONTO ON,TORONTO ON,A_5,Outgoing,24
139,09/03/2019,6:09:49 PM,TORONTO ON,TORONTO ON,B_3,Outgoing,1
140,09/03/2019,6:09:27 PM,TORONTO ON,TORONTO ON,A_5,Outgoing,1
141,09/03/2019,5:27:23 PM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,2
142,09/03/2019,4:59:25 PM,TORONTO ON,TORONTO ON,A_3,Outgoing,44
143,09/03/2019,3:41:35 PM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,1
144,09/03/2019,2:48:00 PM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,1
145,09/02/2019,5:54:16 PM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,5
146,09/02/2019,5:53:03 PM,TORONTO ON,TORONTO ON,A_5,Outgoing,1
147,09/02/2019,11:55:59 AM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,13
148,09/01/2019,7:10:31 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,3
149,08-30-2019,6:54:49 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,7
150,08-30-2019,6:27:43 PM,TORONTO ON,TORONTO ON,A_5,Outgoing,22
151,08-30-2019,5:17:15 PM,TORONTO ON,TORONTO ON,C_4,Outgoing,20
152,08-29-2019,2:03:17 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,15
153,08-29-2019,1:01:34 PM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,8
154,08-28-2019,10:41:42 AM,TORONTO ON,OAK RIDGES ON,E_1,Outgoing,1
155,08-27-2019,8:01:43 PM,TORONTO ON,TORONTO ON,B_3,Outgoing,1
156,08-27-2019,8:01:09 PM,TORONTO ON,TORONTO ON,B_3,Outgoing,1
157,08-27-2019,7:49:54 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,12
158,08-25-2019,9:27:45 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,2
159,08-25-2019,9:23:23 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,1
160,08-24-2019,4:13:18 PM,TORONTO ON,TORONTO ON,D_4,Outgoing,1
161,08-23-2019,6:33:14 PM,TORONTO ON,OAK RIDGES ON,C_5,Outgoing,1
162,08-22-2019,10:29:18 AM,TORONTO ON,TORONTO ON,A_1,Outgoing,40
163,08-22-2019,10:03:25 AM,TORONTO ON,TORONTO ON,A_1,Outgoing,6
164,08-19-2019,10:54:21 AM,TORONTO ON,TORONTO ON,A_1,Outgoing,38
165,08-18-2019,7:22:48 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,1
166,08-17-2019,6:18:16 PM,TORONTO ON,TORONTO ON,B_3,Outgoing,2
167,08-17-2019,12:24:51 PM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,5
168,08-16-2019,10:42:01 AM,TORONTO ON,TORONTO ON,A_1,Outgoing,21
169,08-14-2019,7:55:10 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,12
170,08-13-2019,1:07:57 PM,TORONTO ON,TORONTO ON,B_3,Outgoing,1
171,08/10/2019,4:05:52 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,6
172,08/09/2019,6:06:18 PM,TORONTO ON,OAK RIDGES ON,B_4,Outgoing,2
173,08/09/2019,5:46:44 PM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,5
174,08/09/2019,1:19:42 PM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,2
175,08/08/2019,11:01:44 AM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,2
176,08/08/2019,9:25:13 AM,TORONTO ON,TORONTO ON,A_5,Outgoing,3
177,08/07/2019,1:13:02 PM,TORONTO ON,TORONTO ON,A_5,Outgoing,33
178,08/06/2019,5:46:23 PM,TORONTO ON,TORONTO ON,A_4,Outgoing,3
179,08/06/2019,5:10:04 PM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,30
180,08/06/2019,5:09:36 PM,TORONTO ON,TORONTO ON,A_1,Outgoing,1
181,08/06/2019,3:07:14 PM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,1
182,08/06/2019,12:01:48 PM,TORONTO ON,TORONTO ON,B_3,Outgoing,1
183,08/05/2019,9:34:31 AM,INCOMING ON,TORONTO ON,Unknown caller,Incoming,1
184,08/02/2019,3:04:21 PM,TORONTO ON,TORONTO ON,B_3,Outgoing,1
185,08/02/2019,11:45:55 AM,TORONTO ON,TORONTO ON,B_3,Outgoing,1
186,08/02/2019,10:41:50 AM,TORONTO ON,TORONTO ON,A_1,Outgoing,18
187,08/02/2019,10:35:13 AM,TORONTO ON,TORONTO ON,A_1,Outgoing,7
